id,scientific_name,synonyms,description,english_name,kingdom,phylum,class_,order,family,genus,characteristics,biotope,countries__ids,domesticated/cultivated,endemic,general_uses,notes,refs__ids,links
acrotomeinflata,Acrotome inflata,,Benth.,Acrotome sp.,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Acrotome,"annual herb; up to 50 cm; small white flowers, packed in dense rows in spherical axillary inflorescendes; hardy, rectangular, finely ripped stalk; few opposite, pendent leaves","sandy soil, dune","BW,NA,ZA",,,,,,
acrotylusblondeli,Acrotylus blondeli,,"Saussure, 1884",,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Acrotylus,,,,,,,,,
acrotyluspatruelis,Acrotylus patruelis,,"(Herrich-Schäffer, 1838)",Slender burrowing grasshopper,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Acrotylus,,,"ES,FR,GR,HR,IT",,,,,,
actia,Actia,,"Robineau-Desvoidy, 1830",,Animalia,Arthropoda,Insecta,Diptera,Tachinidae,,,,,,,,,,
actiniopterisradiata,Actiniopteris radiata,,(Sw.) Link,,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,Actiniopteris,,,,,,,,,
actophilornisafricanus,Actophilornis africanus,,"(Gmelin, 1789)",African Jacana,Animalia,Chordata,Aves,Charadriiformes,Jacanidae,Actophilornis,carnivore; body-length: 28 cm; red-brown body; white thoat; yellow breast; black neck; blue bill and forehead,"flooded grassland, freshwater","ET,GH,GM,KE,LR,MZ,SN,TZ,UG,ZA,ZW",,,,,,
adansoniadigitata,Adansonia digitata,,L.,baobab,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Adansonia,,,"AO,NA,ZA",,,eating of pulp,,Blench2012[1],
adansoniagrandidieri,Adansonia grandidieri,,,,Plantae,,,,,Adansonia,,,,,,,,[PROTA],
adansoniarubrostipa,Adansonia rubrostipa,,,,Plantae,,,,,Adansonia,,,,,,,,[PROTA],
adansoniaza,Adansonia za,,,,Plantae,,,,,Adansonia,,,,,,,,[PROTA],
addaxnasomaculatus,Addax nasomaculatus,,"(Blainville, 1816)",Addax,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Addax,,,IL,,,,,,
adenandragummifera,Adenandra gummifera,,Strid,,Plantae,,,,,Adenandra,,,,,,,,[plantzafrica.com],
adenandraobtusata,Adenandra obtusata,,Sond.,,Plantae,,,,,Adenandra,,,,,,,,[plantzafrica.com],
adenandrauniflora,Adenandra uniflora,,(L.) Willd.,,Plantae,,,,,Adenandra,,,,,,,,[plantzafrica.com],
adenantheramantaroa,Adenanthera mantaroa,,,,Plantae,,,,,Adenanthera,,,,,,,,[PROTA],
adeniaaculeata,Adenia aculeata,,,,Plantae,,,,,Adenia,,,,,,,,[PROTA],
adeniabequaertii,Adenia bequaertii,,,,Plantae,,,,,Adenia,,,,,,,,[PROTA],
adeniacissampeloides,Adenia cissampeloides,,,,Plantae,,,,,Adenia,,,,,,,,[PROTA],
adeniadigitata,Adenia digitata,,,,Plantae,,,,,Adenia,,,,,,,,[PROTA],
adeniadinklagei,Adenia dinklagei,,,,Plantae,,,,,Adenia,,,,,,,,[PROTA],
adeniaellenbeckii,Adenia ellenbeckii,,,,Plantae,,,,,Adenia,,,,,,,,[PROTA],
adeniafiringalavensis,Adenia firingalavensis,,,,Plantae,,,,,Adenia,,,,,,,,[PROTA],
adeniaglobosa,Adenia globosa,,,,Plantae,,,,,Adenia,,,,,,,,[PROTA],
adeniakeramanthus,Adenia keramanthus,,,,Plantae,,,,,Adenia,,,,,,,,[PROTA],
