id,scientific_name,species_description,english_name,kingdom,order,family,genus,characteristics,biotope,ecoregions__ids,countries__ids,general_uses,notes,refs__ids,wikipedia_url,eol_id,links
albiziaanthelmintica,Albizia anthelmintica,,Worm-bark false-thorn,Plantae,Fabales,Fabaceae,Albizia,"up to 6 m tall, yellow or creamy-white flowers, feathery leaves, no thorns, large light brown pods","savannasandy soil, dune",AT1309,"BW,NA,ZA",,used against parasites; 'Worm-cure Albizia' in eol,vanderwalt1999[52];vanrooyen2001[32],http://en.wikipedia.org/wiki/Albizia,643522,
albiziachevalieri,Albizia chevalieri,,,Plantae,Fabales,Fabaceae,Albizia,,,AT0722,BF,,,,,644028,
albucaamboensis,Albuca amboensis,,Slime lily,Plantae,Asparagales,Asparagaceae,Albuca,,,AT1309,"BW,NA,ZA",,,,http://en.wikipedia.org/wiki/Albuca,1084063,
alcelaphusbuselaphus,Alcelaphus buselaphus,,Hartebeest,Animalia,Artiodactyla,Bovidae,Alcelaphus,herbivore; height: 110-150 cm; the coat is glossy red-brown; the outside of the legs and the tail are black; the buttocks are light; there is a black blaze on the face; the snout is very long; the shoulders are humped and the back is sloped; the horns rise from a single pedicel and are S-shaped;,"savanna, shrubland, grassland, woodland,","AT0709,AT1309,AT0702","BW,NA,ZA",,,cillie1997[76],http://en.wikipedia.org/wiki/Alcelaphus_buselaphus,308529,
alectraorobanchoides,Alectra orobanchoides,,Kirk's tobacco witchweed,Plantae,Lamiales,Orobanchaceae,Alectra,,,AT1309,"BW,ZA",,,,http://en.wikipedia.org/wiki/Alectra_orobanchoides,5664171,
alestes,Alestes,,,Metazoa,Characiformes,Alestidae,Alestes,,,,,,,,,23814025,
alestesbaremoze,Alestes baremoze,,Silversides,Animalia,Characiformes,Alestidae,Alestes,,,AT1306,AE,,,,,994688,
alestesdentex,Alestes dentex,,Characin,Animalia,Characiformes,Alestidae,Alestes,,,,,,,,,219948,
alliumcepa,Allium cepa,,Onion,Plantae,,,,,,,,,,,http://en.wikipedia.org/wiki/Onion,1084354,
alliumsativum,Allium sativum,,Garlic,Plantae,Asparagales,Amaryllidaceae,Allium,,,PA0402;PA0408;PA0412;PA0416;PA0431;PA0436;PA0445;PA0504;PA0814,ES;RU;FR;NL;DE;PL;SK;GE;AT;RO;UA;SE,,,,,1084926,
allogymnopleurusaeneus,Allogymnopleurus aeneus,,,Animalia,Coleoptera,Scarabaeidae,Allogymnopleurus,,,,,,,,,143860,
aloecryptopoda,Aloe cryptopoda,,Dr Kirk's aloe,Plantae,Asparagales,Xanthorrhoeaceae,Aloe,,,AT0709,"BW,ZA",,,,http://en.wikipedia.org/wiki/Aloe_cryptopoda,1085252,
aloetenuifolia,Aloe tenuifolia,,,Plantae,Asparagales,Xanthorrhoeaceae,Aloe,,,AT0722,BF,,,,,1085572,
aloevera,Aloe vera,,Barbados aloe,Plantae,Asparagales,Xanthorrhoeaceae,Aloe,,,AA0402;AT0722;NA1201;NA1302;NT0205;NT1305;OC0702;PA0406;PA1203;PA1212,FR;US;AU;CW;MX;ES,,,,,1085598,
aloezebrina,Aloe zebrina,,Zebra leaf aloe,Plantae,Asparagales,Xanthorrhoeaceae,Aloe,,,AT1309,"BW,NA",,,,http://en.wikipedia.org/wiki/Aloe_zebrina,1085618,
alopochenaegyptiaca,Alopochen aegyptiaca,,Egyptian goose,Animalia,,,,,,,,,,,http://en.wikipedia.org/wiki/Egyptian_goose,1065128,
alternantheraachyranthes,Alternanthera achyranthes,,Paper thorns,Plantae,Caryophyllales,Amaranthaceae,Alternanthera,,,,,,,,,586921,
