gymnosporiaheterophylla,
melieraxcanorus,AT0702;AT0709;AT0717;AT0725;AT0726;AT0902;AT0907;AT1009;AT1201;AT1202;AT1203;AT1309;AT1314;AT1315;AT1316;AT1322
elephantulusintufi,AT1316
otocyonmegalotis,AT0108;AT0709;AT0714;AT0716;AT0725;AT0902;AT0908;AT1309;AT1315
ourebiaourebi,AT0714;AT0716;AT0721;AT0722;AT0725;AT0726
crotalariadamarensis,
schoenoplectusmuricinux,
trachyphonusvaillantii,AT0109;AT0119;AT0716;AT0717;AT0719;AT0725;AT0907;AT1004;AT1009;AT1012
gerbillurustytonis,
cistugoseabrai,
geochelonepardalis,AT0709;AT0711;AT0714;AT0716;AT0717;AT0725;AT0726;AT0902;AT1004;AT1201;AT1203;AT1309;AT1314;AT1316
choiromycesechinulatus,
myrmecocichlaformicivora,AT0702;AT0709;AT0717;AT0725;AT0902;AT0908;AT1004;AT1009;AT1202;AT1203;AT1309;AT1314;AT1315;AT1316;AT1322
psammobatesoculiferus,AT0709;AT0726
malacothrixtypica,
chaerephonbivittatus,
scotophilusdinganii,AT0111;AT0711;AT0715;AT0719
myotisbocagei,
ceratotheriumsimum,AT0119;AT0702;AT0709;AT0711;AT0717;AT0719;AT0721;AT0725;AT0726;AT0902;AT0907;AT1004;AT1012;AT1201;AT1309;AT1316;NA0414
pulexirritans,PA0409;PA0429
solanumtuberosum,AA0405;AA0801;NT0153;NT0310;PA0402;PA0405;PA0436;PA0445;PA0608;PA1203
gerbillurussetzeri,
orycteropusafer,AT0709;AT1004;AT1309;AT1316
glaucidiumperlatum,AT0108;AT0702;AT0704;AT0706;AT0707;AT0709;AT0711;AT0714;AT0715;AT0716;AT0717;AT0719;AT0722;AT0725;AT0726;AT0902;AT0907;AT1002;AT1007;AT1008;AT1309;AT1316
mimusopszeyheri,
capparistomentosa,AT0713;AT0719;AT0722;AT0907
ficusingens,AT0130;AT0704;AT0707;AT0722;Lake
sitophilusgranarius,PA0405;PA0436;PA0608
cephalorhynchusheavisidii,
helioboluslugubris,AT1309;AT1316
funisciuruscongicus,AT0110;AT1316
aloezebrina,
trachylepisstriata,AT0109;AT0701;AT0704;AT0706;AT0711;AT0716;AT0717;AT0725;AT0908;AT1007;AT1316;AT1402;AT1405
elephantulusrupestris,
sesamumtriphyllum,
anthephorapubescens,
motacillacapensis,AT0101;AT0108;AT0115;AT0116;AT0702;AT0717;AT0721;AT0725;AT0907;AT1003;AT1004;AT1009;AT1012;AT1013;AT1202;AT1203;AT1309;AT1315;AT1316;AT1405;Lake
bitisarietans,AT0114;AT0701;AT0707;AT0711;AT0719;AT0725;AT1004;AT1009;AT1309;AT1321;AT1403
strychnosmadagascariensis,
meropshirundineus,AT0108;AT0119;AT0125;AT0702;AT0704;AT0705;AT0706;AT0707;AT0709;AT0719;AT0721;AT0722;AT0725;AT0726;AT0902;AT0907;AT1001;AT1309;AT1314;AT1315;AT1316;AT1403
rhinolophusdarlingi,AT0725
gerrhosaurusnigrolineatus,
lemniscomysrosalia,AT0109;AT0706;AT0716
pytiliamelba,AT0108;AT0109;AT0702;AT0704;AT0709;AT0711;AT0714;AT0716;AT0717;AT0721;AT0725;AT0726;AT0907;AT1007;AT1009;AT1013;AT1309;AT1316
lagenariasiceraria,AT0110;NT0310;PA0436;PA1201;PA1209
physalisangulata,AT0110;AT0114;AT0130;AT0707;AT0722;NA0412;NA0814;NT0121;NT0137;PA0402;PA0412;PA0445
turnixsylvatica,AT0101;AT0119;AT0704;AT0705;AT0711;AT0714;AT0716;AT0717;AT0722;AT0725;AT0907;AT1004;AT1309;AT1316;IM0113;IM0149;IM0166;IM0201;IM0202;IM0207
musneavei,
priniaflavicans,AT0702;AT0709;AT0717;AT0726;AT0902;AT0907;AT0908;AT1009;AT1309;AT1310;AT1315;AT1316
ictonyxstriatus,AT0709;AT0902;AT1309;AT1316
varanusalbigularis,AT0119;AT0709;AT0716;AT0725;AT0726;AT0902;AT0907;AT1201;AT1309;AT1316
eragrostislehmanniana,
damaliscuspygargusdorcas,AT0702;AT0719;AT1004;AT1009;AT1012;AT1202;AT1203;AT1309
chaerephonnigeriae,
gerrhosaurusflavigularis,AT1004;NA0701
oleaeuropaeaafricana,AT1306;NA1201;NA1202;PA0402;PA0445;PA0501;PA1201;PA1209;PA1211;PA1214;PA1215;PA1221;PA1222
gazaniakrebsianaserrulata,AT1004;AT1015
procaviacapensis,AT0108;AT0114;AT0704;AT0705;AT0711;AT0714;AT0715;AT0716;AT1004;AT1009;AT1202;AT1203;AT1309;AT1314;AT1315;AT1316;AT1321;PA1207;PA1303;PA1320
lanneadiscolor,AT1015
accipiterbadius,AT0111;AT0123;AT0705;AT0707;AT0711;AT0716;AT0717;AT0721;AT0722;AT0725;AT1306;AT1403;IM0111;IM0116;IM0124;IM0126;IM0134;IM0135;IM0137;IM0139;IM0151;IM0154;IM0166;IM0201;IM0202;IM0204;IM0206;IM0207;IM0208;IM0209;IM0210;IM0212;IM0901;IM1301
otopteraburchellii,
coturnixcoturnix,Lake;PA0402;PA0405;PA0431;PA0436;PA0445;PA0608;PA1209;PA1221
corallocarpusbainesiihookfameeuse,
danauschrysippus,AA0402;AA1304;AT0108;AT0117;AT0123;AT0125;AT0127;AT0201;AT0705;AT0707;AT0709;AT0711;AT0719;AT0722;AT0725;AT0726;AT0902;AT0907;AT1006;AT1009;AT1013;AT1302;AT1306;AT1309;AT1312;AT1316;AT1320;AT1401;IM0111;IM0120;IM0124;IM0131;IM0134;IM0146;IM0149;IM0151;IM0201;IM0203;IM0209;IM0212;PA1201;PA1203;PA1205;PA1207;PA1214;PA1221;PA1333
