Oxygonumdelagoense,,
formicidae,AA0405;AA0406;AA0801;AT0109;NA0302;NA0303;NA0516;NA0519;NA0523;NA0527;NA0814;NA1201;NA1202;NA1302;NA1308;NA1310;NA1311;NT0166;PA0402;PA0405;PA0432;PA0436;PA0445;PA0608;PA1211;PA1222,DE;IT;MX;NZ;PE;SE;TZ;US
francolinusadspersus,AT0702;AT0709;AT0725;AT0726;AT0902;AT0907;AT0908;AT1309;AT1316,AO;BW;NA
francolinusafer,AT0101;AT0115;AT0116;AT0704;AT0706;AT0714;AT0716;AT0721;AT0725;AT1004;AT1013;AT1201;AT1203,AE;CD;KE;MW;RW;TZ;UG;ZA;ZM
francolinusafricanus,AT0717;AT0725;AT1003;AT1004;AT1009;AT1203;AT1314;AT1322,LS;ZA
francolinusbicalcaratus,AT0107;AT0111;AT0114;AT0123;AT0707;AT0722;AT1010;AT1403,BF;BJ;CM;GH;GM;GN;GW;LR;NG;SN;TG
francolinuscapensis,AT1203;AT1322,ZA
francolinuscoqui,AT0101;AT0709;AT0711;AT0714;AT0715;AT0716;AT0717;AT0721;AT0725;AT0726,BW;ET;KE;TZ;UG;ZA;ZM
francolinushartlaubi,AT0702;AT0902;AT1009;AT1309;AT1315;AT1316,NA;ZA
francolinuslevaillantii,AT0108;AT0116;AT0704;AT0716;AT0721;AT0725;AT1003;AT1004;AT1009;AT1012;AT1015,KE;MW;SZ;TZ;UG;ZA;ZM
francolinuslevaillantoides,AT0702;AT0709;AT0717;AT0726;AT0902;AT0907;AT1004;AT1009;AT1309;AT1314;AT1316,BW;NA;ZA
francolinusnatalensis,AT0116;AT0119;AT0709;AT0717;AT0725;AT1004;AT1012,BW;SZ;ZA;ZM;ZW
francolinussephaena,AT0108;AT0109;AT0705;AT0711;AT0714;AT0716;AT0717;AT0721;AT0725;AT1004;AT1007;AT1008;AT1013,ET;KE;TZ;UG;ZA
francolinusshelleyi,AT0108;AT0119;AT0128;AT0704;AT0709;AT0711;AT0714;AT0716;AT0717;AT0719;AT0721;AT0725;AT0726;AT1004;AT1009;AT1012;AT1015;AT1405,KE;MW;MZ;TZ;UG;ZA;ZM;ZW
francolinusswainsonii,AT0702;AT0717;AT0719;AT0725;AT0726;AT0902;AT0907;AT1004;AT1009;AT1309,BW;LS;NA;ZA;ZM;ZW
fregataminor,AA0117;AA0703;NT1307;OC0105;OC0111;OC0113;OC0202;OC0702,AU;CL;EC;FJ;MP;PF;PG;TH;US
fregettagrallaria,AT0120;AT0803;AT1009,AQ;AU;CL;MU;NZ;SH;ZA
fregettatropica,AN1104;NT0402,AQ;AU;CL;FK;GS;NZ;TF;ZA
fuirenaciliaris,AA0402;AT0722,AU;BF;NG
fulicacristata,AT0101;AT0108;AT0115;AT0711;AT0716;AT0717;AT0725;AT1003;AT1004;AT1005;AT1007;AT1009;AT1012;PA1209;PA1215;PA1221,ES;ET;KE;PT;RW;TZ;UG;ZA
fulmarusglacialoides,AN1103;NT0402;NT0404;NT0805;NT1315,AQ;AR;CL;GS;PE
fungi,PA0405;PA0436;PA0608,SE
funisciuruscongicus,AT0110;AT1316,CD;NA
galagoidesgranti,,
galagomoholi,AT0709;AT0717;AT0725;AT1004;AT1309,BW;NA;ZA;ZW
galagosenegalensis,AT0108;AT0114;AT0706;AT0711;AT0716;AT0722,CI;GN;KE;TZ
galeniaafricana,,
galeodesolivieri,,
galerellaflavescens,,
galerellapulverulenta,AT1203,ZA
galerellasanguinea,AT0716;AT0725;AT0726;AT1009;AT1309;AT1316,NA;TZ;ZA
gallinulachloropus,PA0405;PA0436,SE
gallusgallus,AA0406;AA0801;IM0108;IM0113;IM0115;IM0116;IM0119;IM0126;IM0131;IM0136;IM0137;IM0163;IM0166;IM0207;IM0208;IM0210;IM0301;NA1201;NA1202;NA1302;NT0155;NT0226;OC0106;OC0113;OC0202;OC0203;OC0702,CA;ID;IN;MM;MP;MX;MY;NP;NZ;PF;PR;PW;TH;US;VN;ZZ
gardeniaerubescens,AT0707;AT0722,BF;BJ;FR;ML;TG
gardeniasokotensis,AT0722,BF;ML
gardeniaternifolia,AT0111;AT0722;AT1403,BF;BJ;GN;ML
gastrimargusafricanus,,
gastropoda,AA0413;AA0801;NA0303;NA0517;NA0519;NA0804;NA1201;NA1202;PA0402;PA0405;PA0436;PA0445,AU;DE;MX;NZ;PT;SE;US;VU
gazaniajurineifolia,,
gazaniakrebsianaserrulata,AT1004;AT1015,TZ;ZA
gazelladama,,
gazelladorcas,AT1306;PA1303;PA1320;PA1325,AE;IL
geigeriaburkei,,
geigeriaornativa,,
geigeriapectidea,,
gekkonidae,AA0404;AA0405;AA0406;AA1003;AT0126;AT0722;AT0723;AT0725;AT1306;AT1318;IM0113;IM0121;IM0124;IM0150;IM0210;NA0405;NA0523;NA0529;NA0804;NA0806;NA0814;NA0815;NA1201;NA1303;NA1308;NA1310;NA1312;NT0129;NT0130;NT0310;NT0904;OC0202;OC0702;PA1201,AE;CD;CK;CM;CR;FJ;GR;ID;IN;LA;LK;MX;MZ;NE;NI;NZ;PA;PR;TG;US;VN;YE;ZA
genettagenetta,AT0108;AT0114;AT0702;AT0714;AT0716;AT0722;AT0725;AT0726;AT1309;PA0402;PA0406;PA0445;PA1209;PA1215;PA1216;PA1221,BW;CI;ES;FR;GN;KE;NA;PT;TZ;ZA;ZM
genettagenettapulchra,AT0108;AT0114;AT0702;AT0714;AT0716;AT0722;AT0725;AT0726;AT1309;PA0402;PA0406;PA0445;PA1209;PA1215;PA1216;PA1221,BW;CI;ES;FR;GN;KE;NA;PT;TZ;ZA;ZM
genettamaculata,AT0725,ZA
genettathierryi,,
genettatigrina,AT0707;AT0716;AT0719;AT0725;AT1403,GN;TZ;ZA;ZM
geochelonepardalis,AT0709;AT0711;AT0714;AT0716;AT0717;AT0725;AT0726;AT0902;AT1004;AT1201;AT1203;AT1309;AT1314;AT1316,BW;KE;MZ;NA;TZ;ZA;ZW
geochelonesulcata,IM0146,SG
georychuscapensis,,
gerbilluruspaeba,,
gerbillurussetzeri,,
gerbillurustytonis,,
gerbillus,,
gerbilurusvallinus,,
geronticuscalvus,AT0119;AT0725;AT1003;AT1004;AT1009;AT1201,LS;SZ;ZA
gerrhosaurusflavigularis,AT1004;NA0701,US;ZA
gerrhosaurusnigrolineatus,,
giraffacamelopardalis,AT0108;AT0125;AT0702;AT0711;AT0714;AT0716;AT0717;AT0721;AT0722;AT0725;AT0901;AT0902;AT1004;AT1005;AT1006;AT1012;AT1309;AT1316,KE;NA;NE;TZ;UG;ZA;ZW
gisekiaafricana,,
gisekiapharnaceoides,AT0202,MG
glareolapratincola,PA0405;PA0436;PA0608;PA1201;PA1209;PA1215;PA1221,ES;FR;GR;SE
glaucidiumperlatum,AT0108;AT0702;AT0704;AT0706;AT0707;AT0709;AT0711;AT0714;AT0715;AT0716;AT0717;AT0719;AT0722;AT0725;AT0726;AT0902;AT0907;AT1002;AT1007;AT1008;AT1309;AT1316,AO;BW;CD;ET;GH;GM;KE;NA;TZ;ZA;ZM
glauconycterisvariegata,AT0707;AT0716,CI;KE
glinuslotoides,AA0402;AA0409;AA0802;AA1207;PA1201,AU;TR
glinusoppositifolius,AA0409;AT0130;AT0722,AU;BF;CI
globicephalamacrorhynchus,NA0413;NA0517;NA0529;NT0904;NT1401;PA1203,ES;GF;PR;PT;US;VE
globicephalamelas,PA0436,CA;ES;FR;GB;IE;IT;NO;PT;SE
gloriosasuperba,AA0402;AT0110;AT0114;AT0130;AT0202;AT0704;AT0707;AT0709;AT0717;AT0719;AT0722;AT0725;AT1015;IM0154;IM0212,AU;BF;CD;CI;FR;GN;LK;MG;MZ;NA;SN;TZ;ZW
glossina,AT0725,ZM
glossonemaboveanum,,
gnaphaliumundulatum,PA0402,FR
gnidiacapitata,,
gnidiapolycephala,AT1309,NA
gomphocarpusfruticosus,AA0402;AA0409;PA0425;PA1204;PA1211;PA1222,AU;FR;IT;PT
gongylophismuelleri,AT0722,TG
gonimbrasia,AT0705;AT0725;AT1316,BW;NA;SS
gonopus,,
gorsachiusleuconotus,AT0101;AT0119;AT0705;AT0707;AT0715;AT0716;AT0721;AT0722;AT0725;AT0726;AT0907;AT1013;AT1403;AT1405,AO;BW;CD;ET;GM;KE;MW;NA;SL;SZ;UG;ZA;ZM;ZW
gossypiumanomalum,,
gossypiumhirsutum,AT0722;NA0409;NA0815;NT0235;PA0406,AU;BF;ES;MX;US
grammomyscometes,,
grammomysdolichurus,,
grampusgriseus,AA0402;NA0410;NA1201;NA1203;NT0155;NT1301,AU;EC;ES;FR;GB;GF;IE;IT;PR;PT;US;VE
graphiuruskelleni,,
graphiurusmurinus,AT1004,ZA
graphiurusocularis,,
graphiurusplatyops,,
grewiaavellanahiern,,
grewiabicolor,AT0707;AT0711;AT0713;AT0722;AT0907,BF;BW;FR;ML;TZ
grewiaflava,AT1309,NA
grewiaflavescens,AT0707;AT0713;AT0722;AT0907;AT1309,BF;BW;FR;NA
grewiaflavescensvarflavescens,NA1202;NA1308,US
grewialasiodiscus,AT0111;AT0707;AT0722,BF;BJ;GN;ML
grewiaoccidentalis,AT1009;AT1314,EC;ZA
grewiaretinervis,,
grewiatenaxforskfiori,AT0713,BF;ML
grewiavillosa,AT0130;AT0713,BF;GN
grielumhumifusum,,
gryllusbimaculatus,AT1321;PA0402;PA0412;PA0425;PA0445;PA1201;PA1204;PA1205;PA1209;PA1210;PA1215;PA1221;PA1222,BE;CH;DE;ES;FR;GR;IT;PT;SA
guierasenegalensis,AT0707;AT0713;AT0722,BF;FR;ML
gutterapucherani,AT0101;AT0104;AT0108;AT0111;AT0116;AT0119;AT0125;AT0128;AT0704;AT0705;AT0714;AT0716;AT0721;AT0725;AT1003;AT1004;AT1009;AT1405,CD;GH;KE;MZ;SZ;TZ;UG;ZA;ZW
gymnarchusniloticus,,
gymnosporiaheterophylla,,
gymnosporiasenegalensis,,ES
gynandropsisgynandra,AT0713;AT0722;AT1015;NA0529,BF;FR;NG;SN;TZ;US
gypaetusbarbatus,AT1003;AT1004;AT1007;AT1008;IM0301;IM0502;PA0405;PA0406;PA0408;PA0433;PA0445;PA0501;PA0805;PA1006;PA1012;PA1017;PA1020;PA1205;PA1209;PA1215;PA1220;PA1314,AT;CH;CN;DE;ES;ET;FR;GE;GR;IN;IT;LS;MN;TR;ZA
gypohieraxangolensis,AT0101;AT0107;AT0108;AT0109;AT0111;AT0114;AT0116;AT0125;AT0126;AT0704;AT0705;AT0707;AT0711;AT0714;AT0721;AT0722;AT1013;AT1401;AT1402;AT1403,CD;CM;GH;GM;GW;KE;LR;NG;SN;TZ;UG;ZA
gypsafricanus,AT0101;AT0107;AT0108;AT0112;AT0119;AT0121;AT0705;AT0711;AT0714;AT0715;AT0716;AT0717;AT0721;AT0722;AT0725;AT1005;AT1007;AT1008,BW;CM;ET;GH;KE;MZ;SN;TZ;UG;ZA
gypscoprotheres,AT0116;AT0119;AT0717;AT0725;AT0907;AT1003;AT1004;AT1009;AT1012,BW;LS;SZ;ZA
gypsrueppellii,AT0101;AT0108;AT0112;AT0114;AT0705;AT0706;AT0711;AT0714;AT0715;AT0716;AT0721;AT0722;AT1007;AT1008;PA1221,BJ;ES;ET;GN;KE;PT;RW;SN;TZ;UG
gyrinidae,NA0302;NA0405;NA0406;NA0407;NA0410;NA0413;NA0517;NA0519;NA0804;NA0814;NT0205;NT0310;NT0904;PA0402;PA0405;PA0412;PA0436;PA0445;PA0608,CA;DE;MX;SE;US
gyrocarpusamericanussubsppinnatilobuskubitzki,AT0722,ML
halcyonsenegalensis,AT0101;AT0107;AT0111;AT0121;AT0123;AT0126;AT0130;AT0705;AT0707;AT0711;AT0714;AT0716;AT0717;AT0721;AT0725;AT0901;AT1401,CM;GH;KE;LR;NG;TZ;UG;ZA
haliaeetusvocifer,AT0107;AT0108;AT0112;AT0115;AT0116;AT0119;AT0125;AT0705;AT0706;AT0707;AT0711;AT0713;AT0714;AT0715;AT0716;AT0717;AT0721;AT0722;AT0725;AT1004;AT1005;AT1013;AT1203;AT1402;AT1403;AT1405,CM;ET;GM;GW;KE;MZ;NE;SN;TZ;UG;ZA;ZW
halobaenacaerulea,AA0402;AN1104,AQ;AU;CL;FK;GS;NZ;TF
harpagophytumprocumbens,,
harpezocatantopsstylifer,,
hebenstretiaintegrifolia,,
heeriainsignis,,
helichrysumarenicola,,
helichrysumargyrosphaerum,AT1004,ZA
helichrysumindicum,,ES
helichrysumparonychioides,,
helioboluslugubris,AT1309;AT1316,BW;NA
heliocheilusalbipunctella,,
heliosciurusgambianus,AT0108;AT0111;AT0112;AT0114;AT0707;AT0722;AT1403,BF;ET;GH;GM;GN;SN;UG
heliosciurusmutabilis,AT0725,BW;MZ
heliotropiumciliatum,,
heliotropiumdigynum,,
heliotropiumindicum,AT0707;AT0722;AT0903;IM0154;NA0405;NA0409;NA0412;NT0125;NT0137,BF;CO;FR;LK;ML;SR;US;VE
heliotropiumlineare,,
heliotropiumovalifolium,,
heliotropiumramosissimum,PA1212;PA1332,ES;FR
heliotropiumzeylanicum,,
helogaleparvula,AT0711;AT0714;AT0716;AT0725;AT0902;AT1004;AT1309;AT1316,BW;KE;NA;TZ;ZA
heloiosciurusmutabilis,AT0725,BW;MZ
hemachatushaemachatus,AT1009,ZA
hemichromis,IM0149;NA0513;NA0529;NA1303;NT0164;NT0904,HK;MX;US
hepsetusodoe,AT0725;AT0726;AT0907,BW
hermanniaburchellii,,
hermanniamodesta,,
hermbstaedtiafleckii,,
hermbstaedtialinearis,,
herpestesichneumon,AT0111;AT0709;AT0712;AT0714;AT0716;PA1207;PA1209;PA1212;PA1221;PA1303,CM;ES;GH;IL;KE;MA;NA;PT;TR;TZ
heteracrisannulosa,,
heteracrisleani,,
heterantheracallifolia,,
heterobranchusbidorsalis,,
heterohyraxbrucei,AT0711;AT0714;AT0716;AT0725,KE;TZ;ZW
heteropogoncontortus,AA0402;AT0722;AT0907;PA1209;PA1211;PA1215,AU;BF;BW;ES;FR
heterotisniloticus,,
hexalobusmonopetalus,AT0722,BF;BJ;ML
hibiscuscalyphyllus,AT0714;AT0715;AT0907,BW;ET;TZ
hibiscuscannabinus,AT0713;AT0722;AT0903;AT0907,BF;BJ;BW;ML
hibiscusengleri,,
hibiscuslongisepalus,,
hibiscusovalifolius,,
hibiscuspanduriformis,,
hibiscuspseudohirtus,,
hibiscussabdariffa,AT0114;AT0130;AT0722;AT1015;IM0154,GN;LK;ML;TZ
hibiscusschinzii,,
hieraaetusayresii,AT0101;AT0102;AT0108;AT0109;AT0111;AT0112;AT0114;AT0119;AT0125;AT0130;AT0704;AT0711;AT0712;AT0716;AT0719;AT0721;AT0722;AT0723;AT0725;AT0726;AT0908;AT1005;AT1007;AT1008;AT1009;AT1405,BW;CD;CM;ET;GA;GH;GN;KE;LR;MZ;NA;TZ;UG;ZA;ZM
hieraaetuspennatus,AT0108;AT0705;AT0711;AT0715;AT0722;AT0725;AT1314;AT1320;IM0107;IM0115;IM0124;IM0134;IM0135;IM0146;IM0166;IM0201;IM0206;IM0209;IM0301;IM0401;IM1301;PA0805;PA1207;PA1209;PA1215;PA1221;PA1303;PA1325,AE;AM;ES;ET;FR;GH;IL;IN;KE;NP;PT;SA;SG;TH;TZ;UG;ZA
hieraaetuswahlbergi,AT0101;AT0108;AT0111;AT0112;AT0704;AT0705;AT0707;AT0711;AT0715;AT0716;AT0717;AT0721;AT0722;AT0725;AT0726;AT0907;AT1004;AT1008;AT1402;PA1333,BW;CD;EG;ET;GH;GM;KE;TZ;UG;ZA;ZM;ZW
hieroglyphusdaganensis,,
hildebrandtiaornata,AT0704,ZM
himantopushimantopus,AT0714;AT1302;IM0126;PA0402;PA0431;PA0445;PA0904;PA1201;PA1209;PA1212;PA1215;PA1221;PA1303;PA1325,AT;DE;EG;ES;FR;GR;HR;IL;IN;NZ;PT;SA;TZ
hippoboscidae,AT0704;NA0518;NA0519;NA0806;NA1202;NA1203;NT0217;PA0402;PA0405;PA0436;PA0445;PA0608,DE;MX;SE;US;ZM
hippopotamusamphibius,AT0102;AT0108;AT0119;AT0709;AT0711;AT0714;AT0716;AT0719;AT0721;AT0722;AT0725;AT0726;AT0907;AT1004;AT1309,BW;GA;GM;KE;MR;NA;NE;SZ;TZ;UG;ZA;ZM;ZW
hipposideroscaffer,AT0111;AT0114;AT0125;AT0707;AT1316,BJ;GH;GN;KE;NA
hipposideroscommersoni,AT0202;AT1312,MG
hippotragusequinus,AT0705;AT0709;AT0712;AT0717;AT0722;AT0725;AT0726;AT0907;AT1015;AT1309,BW;CI;CM;MW;NA;NE;ZA;ZM
hippotragusequinuskoba,AT0705;AT0709;AT0712;AT0717;AT0722;AT0725;AT0726;AT0907;AT1015;AT1309,BW;CI;CM;MW;NA;NE;ZA;ZM
hippotragusniger,AT0125;AT0709;AT0717;AT0719;AT0725;AT0726;AT0907;AT1009;AT1309,BW;KE;NA;TZ;ZA;ZW
hirpiciumechinus,,
hirpiciumgazanioides,,
hirundorustica,IM0105;IM0118;IM0123;IM0146;IM0172;IM0202;IM0401;NA0519;NA0523;NA0701;NA0814;NA1201;NA1302;NA1310;NT0204;NT0217;PA0402;PA0405;PA0436;PA0445;PA1201;PA1209;PA1212;PA1221,BT;CN;DE;ES;GR;IN;KH;MA;MX;PH;PT;PW;SE;SG;TW;US
hodotermes,,
hodotermesmossambicus,,
hoffmannseggiaburchellii,,
homoxyrrhepespunctipennis,,
hoodiagordonii,,
hoplobatrachusoccipitalis,AT0102;AT0110;AT0111;AT0114;AT0130;AT0707;AT1403,CD;CI;GA;GH;GM;GN;LR
hoslundiaopposita,AT0110;AT0114;AT0130;AT0707;AT0722,BF;BJ;CD;GN;SN
huernialongituba,,
huerniopsisdecipiens,,
humbetenuicornis,,
hyaenabrunnea,AT0108;AT0709;AT0716;AT0725;AT0908;AT1004;AT1309,BW;NA;TZ;ZA
hyaenahyaena,AT0108;AT0112;PA1303,ET;IL;TZ
hyalommaimpeltatum,,
hycleusaffinis,,
hydrictismaculicollis,AT0101;AT0130,CI;KE;RW
hydrobatespelagicus,PA0402;PA0409;PA1215,ES;FR;GB;GG;GR;HR;IE;IS;NA;PT;SE;US;ZA
hydrocynusbrevis,,
hydrocynusforskahlii,,
hydrurgaleptonyx,AA0402;AA0409;AA0410;AA0801;AA1101;AN1101;AN1102;AN1103,AQ;AU;NZ
hygrophilaauriculata,AT0707;AT0722,BF;ML;NG;SN
hygrophilasenegalensisneestanderson,AT0722,BF
hylaranagalamensis,AT0110;AT0707;AT0721,CD;GM;UG
hyparrheniafilipendulapilosa,AA0402,AU
hyparrheniahirta,AA0402;PA1203;PA1207;PA1215;PA1221,AU;ES;FR;PT
hyperoliusnitidulus,,
hyperoodonplanifrons,AA0402;AA0406;AA0409;AN1101;AN1102;AN1104;AT1315;NT0710,AQ;AR;AU;BR;BV;GS;HM;NA;NZ;ZA
hyperopisusbebe,,
hypertheliadissoluta,AT0722;AT0907,BJ;BW
hyphaenethebaica,AT0722;AT0903,ML
hypoestesforskaolii,AT0704;AT1015,TZ
hypolimnasmisippus,AT0111;AT0116;AT0117;AT0123;AT0127;AT0130;AT0704;AT0711;AT0713;AT0715;AT0717;AT0719;AT0721;AT0722;AT0725;AT0726;AT1001;AT1004;AT1009;AT1302;AT1321;AT1405;IM0124;IM0209,AO;ET;GH;GN;IN;KE;LS;MG;ML;MZ;NA;NG;OM;SA;SL;SN;ST;UG;ZA;ZM
hypoxisnitida,,
hypsugoanchietae,,
hyptisspicigera,AT0722,BF;BJ;ML;NG;SN
hyptissuaveolens,AT0707;AT0722;NT0206,BF;BJ;BO;FR;ML;NG;SN
hystrixafricaeaustralis,AT0702;AT0709;AT1004;AT1203;AT1309;AT1316,BW;NA;ZA
hystrixcristata,AT0114;AT0707;AT0711;AT0726;AT1309;AT1316;AT1403;PA0402;PA0431;PA1201;PA1211;PA1222,BE;BW;GN;HR;IT;KE;NA;TR
ichneumiaalbicauda,AT0116;AT0716;AT0719;AT0725,TZ;ZA;ZM
ictonyxlibycus,,
ictonyxstriatus,AT0709;AT0902;AT1309;AT1316,BW;NA
indigoferaalternans,,
indigoferaaspera,AT0713;AT0722,BF
indigoferaastragalina,AT0707;AT0713;AT0722,BF;BJ;SN
indigoferacharlieriana,,
indigoferacoeruleaoccidentalis,,
indigoferacoluteavarcolutea,AA0409;AA1308;AT0722,AU;BF;BJ;NG;SN
indigoferadaleoides,,
indigoferadiphylla,,
indigoferaflavicans,,
indigoferageminata,AT0722,BF;BJ
indigoferahirsutavarhirsuta,AA0402;AT0111;AT0130;AT0713;AT0722;NA0529,AU;BF;BJ;GN;NG;SN;US
indigoferaleprieurii,AT0722,BF;BJ
indigoferaoblongifolia,AT0202,MG
indigoferaomissa,,
indigoferapilosavarpilosa,AT0130;AT0707;AT0713;AT0722,BF;GN;NG;SN
indigoferasenegalensis,AT0713;AT0722,BF;BJ;ML;SN
indigoferasessiliflora,,
indigoferasimplicifolia,,
indigoferastenophyllavarstenophylla,AT0130;AT0713;AT0722,BF;BJ;GN
indigoferatinctoriatinctoria,AT0707;AT0722,BF;BJ;FR;NG
indogoferaauricoma,,
ipomoea,AA0801;AT0707;NA0302;NA0303;NA0403;NA0404;NA0405;NA0411;NA0413;NA0804;NA0806;NA0814;NA1302;NA1303;NT0181;NT0205;NT0309;NT0310;NT1316;PA0406;PA0425;PA0436;PA0445;PA1203;PA1209;PA1212;PA1215;PA1221;PA1222,ES;FR;MX;MZ;NZ;PT;SE;US;VG
ipomoeaaquatica,AA0115;AT0110;AT0713;AT0722;AT0903;IM0212;NA0529,BF;CD;LK;ML;NE;NG;PG;US
ipomoeaasarifolia,AT0707;AT0713;AT0722;AT0903;NT0907,BF;BR;FR;ML
ipomoeabatatas,AA0115;AT0110;AT0114;AT0130;NT0109;PA0445;PA1203;PA1209;PA1212;PA1215,CD;CO;DE;ES;GN;PG
ipomoeablepharophylla,AA0801;AT0707;NA0302;NA0303;NA0403;NA0404;NA0411;NA0413;NA0804;NA0806;NA0814;NA1302;NA1303;NT0181;NT0205;NT0309;NT0310;NT1316;PA0406;PA0425;PA0436;PA0445;PA1203;PA1209;PA1212;PA1215;PA1221;PA1222,DK;ES;FR;MX;MZ;NZ;PT;SE;US;VG
ipomoeablepharophyllahallierf,AA0801;AT0707;NA0302;NA0303;NA0403;NA0404;NA0405;NA0411;NA0413;NA0804;NA0806;NA0814;NA1302;NA1303;NT0181;NT0205;NT0309;NT0310;NT1316;PA0406;PA0425;PA0436;PA0445;PA1203;PA1209;PA1212;PA1215;PA1221;PA1222,ES;FR;MX;MZ;NZ;PT;SE;US;VG
ipomoeabolusiana,,
ipomoeacoptica,AT0722,NG
ipomoeacoscinosperma,AT0713;AT0722,BF;BJ;NG
ipomoeadichroa,AT0130;AT0707,GN;SN
ipomoeaeriocarpa,AT0707;AT0722,BF;BJ;NG;SN
ipomoeahackeliana,,
ipomoeakotschyana,,
ipomoeakotschyanahochst,,
ipomoeamagnusiana,,
ipomoeaobscura,AT0130,LR
ipomoeapestigridis,AT0707;AT0722;IM0154,LK;NG;SN
ipomoeavagans,AA0801;AT0707;NA0302;NA0303;NA0403;NA0404;NA0411;NA0413;NA0804;NA0806;NA0814;NA1302;NA1303;NT0181;NT0205;NT0309;NT0310;NT1316;PA0406;PA0425;PA0436;PA0445;PA1203;PA1209;PA1212;PA1215;PA1221;PA1222,DK;ES;FR;MX;MZ;NZ;PT;SE;US;VG
ipomoeavagansbaker,AA0801;AT0707;NA0302;NA0303;NA0403;NA0404;NA0405;NA0411;NA0413;NA0804;NA0806;NA0814;NA1302;NA1303;NT0181;NT0205;NT0309;NT0310;NT1316;PA0406;PA0425;PA0436;PA0445;PA1203;PA1209;PA1212;PA1215;PA1221;PA1222,ES;FR;MX;MZ;NZ;PT;SE;US;VG
ixobrychussturmii,AT0101;AT0107;AT0111;AT0119;AT0125;AT0128;AT0130;AT0702;AT0704;AT0705;AT0707;AT0711;AT0716;AT0717;AT0719;AT0721;AT0722;AT0725;AT0907;AT1004;AT1009;AT1012;AT1309;AT1316,BW;CD;CI;CM;GH;GN;KE;LR;MW;MZ;NA;SN;TZ;UG;ZA;ZM;ZW
ixodida,NA0303;NA0402;NA0403;NA0404;NA0407;NA0410;NA0411;NA0519;NA0804;NA1202;NA1203;NA1311;NT0205;PA0402;PA0405;PA0436;PA0445;PA0608;PA1215,CH;DE;FR;MX;SE;US
jacquemontiatamnifolia,AT0707;AT0713;AT0722;NA0529,BF;NG;SN;US
jamesbrittenialyperioides,,
jatrophacurcas,AA0115;AT0110;AT0707;AT0722;IM0124;NT0214,BF;CD;EC;FR;IN;MX;PG
jatrophagossypiifolia,NT0137,CO
kalahariauncinata,AT0704;AT1015,TZ
kalanchoelanceolata,AT0907,BW
kalanchoepaniculata,,
kalanchoerotundifolia,,
kaupifalcomonogrammicus,AT0101;AT0107;AT0108;AT0111;AT0114;AT0119;AT0130;AT0705;AT0707;AT0716;AT0717;AT0719;AT0721;AT0722;AT0725;AT0726;AT0907;AT1013;AT1401;AT1402;AT1403,BJ;BW;CM;GH;GM;GW;KE;LR;MZ;NA;NG;TZ;UG;ZA;ZM
kedrostisafricana,,
kedrostisfoetidissima,,
kedrostishirtella,,
kerivoulaargentata,AT0711;AT0722,CI;KE
kerivoulalanosa,AT0114,GN
khayasenegalensis,AT0111;AT0707;AT0722;IM0154,BF;BJ;FR;GM;LK;ML
kigeliaafricana,AT0111;AT0130;AT0702;AT0707;AT0709;AT0714;AT0716;AT0719;AT0721;AT0722;AT0725;AT0907;AT1309;IM0154;PA0425,BF;BW;CI;GH;GM;GN;KE;LK;ML;NA;PT;TZ;UG;ZM
kinixysbelliana,AT0110;AT0725,CD;MZ
kleiniacliffordiana,,
kleinialongiflora,,ZA
kobusellipsiprymnus,AT0101;AT0108;AT0119;AT0125;AT0702;AT0709;AT0711;AT0714;AT0716;AT0717;AT0719;AT0721;AT0725;AT0726;AT0907;AT1004;AT1005;AT1009;AT1309,BW;KE;NA;TZ;UG;ZA;ZM;ZW
kobusleche,AT0725;AT0726;AT0907,BW;NA
kobusvardonii,AT0704;AT0706;AT0725,TZ;ZM
kogiabreviceps,AA0402;NA0411;NA0504;NA0513;NA0517;NA0529;NT0155;NT0904,AU;PR;US
kogiasima,,FO;SC;VE;YT
kohautiacaespitosa,,
kohautiacynanchica,,
kraussariaangulifera,,
kraussellaamabile,,
kyllingaalata,AT0907,BW
kyllingaalba,AT0907,BW
labeocoubie,,
labeosenegalensis,,
lacertidae,AT1306;PA0402;PA0405;PA0412;PA0431;PA0436;PA0445;PA0501;PA0608;PA1201;PA1203;PA1209;PA1210;PA1211;PA1212;PA1221,AE;AT;DE;ES;GR;IT;PT;SE;US
lachlathetesfurfuraceus,,
laephotisbotwanae,,
laephotisnamibensis,,
laephotiswintoni,AT0711,KE
lagenariasiceraria,AT0110;NT0310;PA0436;PA1201;PA1209,CD;ES;MX;SE;TR
lagenodelphishosei,AA0402;AA0409,AU;PR;US
lagenodolphishosei,AA0402;AA0409,AU;PR;US
lagenorhynchusobscurus,AA0402;AA0405;NT0404,AQ;AU;CL;NZ;ZA
lagerradecurrens,,
lagonostictasenegala,AT0101;AT0108;AT0112;AT0704;AT0707;AT0711;AT0713;AT0714;AT0715;AT0716;AT0717;AT0721;AT0722;AT0725;AT1007;AT1008;AT1402;AT1403,BJ;ET;GH;GM;GW;KE;NE;SD;SN;TZ;UG;ZA
lamprotornis,AT0108;AT0111;AT0114;AT0116;AT0125;AT0705;AT0707;AT0711;AT0712;AT0714;AT0715;AT0716;AT0721;AT0722;AT0725;AT0905;AT1005;AT1007;AT1405,ET;GH;GM;KE;LR;SS;TZ;UG;ZA
