id,name,description,order,family,genus,characteristics,notes,wikipedia_url,eol_id,countries__ids,ecoregions__ids
heliotropiumciliatum,Heliotropium ciliatum,Heliotropium sp.,,Boraginaceae,Heliotropium,,,http://en.wikipedia.org/wiki/Heliotropium_ciliatum,5353982,NA,AT1309
helogaleparvula,Helogale parvula,Dwarf mongoose,Carnivora,Herpestidae,Helogale,,,http://en.wikipedia.org/wiki/Helogale_parvula,999177,"BW,ZA",AT0709
hemachatushaemachatus,Hemachatus haemachatus,ringhals,Squamata,Elapidae,Hemachatus,,,http://en.wikipedia.org/wiki/Hemachatus_haemachatus,793365,"BW,ZA",AT0709
hermanniatomentosa,Hermannia tomentosa,Hermannia sp.,,Sterculiaceae,,,,http://en.wikipedia.org/wiki/Hermannia_tomentosa,5420151,"BW,NA,ZA",AT1309
hermbstaedtiafleckii,Hermbstaedtia fleckii,Cat's tail,,Amaranthaceae,,,,http://en.wikipedia.org/wiki/Hermbstaedtia_fleckii,5173187,"BW,NA,ZA",AT1309
hibiscusengleri,Hibiscus engleri,Hibiscus sp.,Malvales,Malvaceae,Hibiscus,,,http://en.wikipedia.org/wiki/Hibiscus_engleri,5412744,"BW,NA",AT0709
hippoboscidaesp,Hippoboscidae sp.,Louse fly,Diptera,Hippoboscidae,Fly,,,http://en.wikipedia.org/wiki/Hippoboscidae_sp,,"BW,NA,ZA",AT1309
hippopotamusamphibius,Hippopotamus amphibius,Common Hippopotamus,Artiodactyla,Hippopotamidae,Hippopotamus,,,http://en.wikipedia.org/wiki/Hippopotamus_amphibius,311532,"BW,MZ,NA,ZA,ZW","AT0725,AT0907"
hippotragusniger,Hippotragus niger,Sable antelope,Artiodactyla,Bovidae,Hippotragus,,,http://en.wikipedia.org/wiki/Hippotragus_niger,331077,"BW,ZA",AT0709
hodotermes,Hodotermes,Northern harvester termite,Blattodea Brunner von Wattenwyl 1882,"Hodotermitidae Desneux, 1904",Termite,,,http://en.wikipedia.org/wiki/Hodotermes,8976933,"BW,NA,ZA",AT1309
hoffmannseggiaburchellii,Hoffmannseggia burchellii,Hoffmannseggia sp.,Fabales,Fabaceae,Hoffmannseggia,,,http://en.wikipedia.org/wiki/Hoffmannseggia_burchellii,416098,"BW,NA,ZA",AT1309
hyaenabrunnea,Hyaena brunnea,Brown hyena,Carnivora,Hyaenidae,Hyaena,,,http://en.wikipedia.org/wiki/Hyaena_brunnea,925983,"BW,NA,ZA","AT0709,AT1309"
